type,name,bloat,waste
table,public.admin_audit_log,2.3,32 kB
table,public.idx_employees_email_lower,2.0,8192 bytes
table,public.idx_employees_company_email,2.0,8192 bytes
table,public.employees,2.0,8192 bytes
index,public.employees::employees_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_company_id,2.0,8192 bytes
index,public.profiles::idx_profiles_id,2.0,8192 bytes
index,public.profiles::idx_profiles_auth_provider,2.0,8192 bytes
index,public.employees::idx_employees_company_email,2.0,8192 bytes
index,public.employees::idx_employees_company_id,2.0,8192 bytes
index,public.employees::idx_employees_company_not_deleted,2.0,8192 bytes
index,public.employees::idx_employees_email_lower,2.0,8192 bytes
index,public.employees::idx_employees_name,2.0,8192 bytes
index,public.profiles::profiles_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_superadmin,2.0,8192 bytes
index,public.employees::idx_employees_anonymized_at,0.0,8192 bytes
index,public.employees::idx_employees_deleted_at,0.0,8192 bytes
table,public.trips,1.0,0 bytes
index,public.trips::idx_trips_company_id,1.0,0 bytes
index,public.trips::idx_trips_employee_company,1.0,0 bytes
index,public.trips::idx_trips_employee_date_range,1.0,0 bytes
index,public.trips::idx_trips_employee_id,1.0,0 bytes
index,public.trips::idx_trips_employee_not_ghosted,1.0,0 bytes
index,public.trips::idx_trips_entry_date,1.0,0 bytes
index,public.trips::idx_trips_exit_date,1.0,0 bytes
index,public.trips::trips_pkey,1.0,0 bytes
table,public.import_sessions,1.0,0 bytes
table,public.profiles,1.0,0 bytes
index,public.import_sessions::import_sessions_pkey,0.7,0 bytes
index,public.import_sessions::idx_import_sessions_user,0.7,0 bytes
index,public.import_sessions::idx_import_sessions_status,0.7,0 bytes
index,public.import_sessions::idx_import_sessions_created,0.7,0 bytes
index,public.import_sessions::idx_import_sessions_company,0.7,0 bytes
index,public.admin_audit_log::idx_admin_audit_admin,0.7,0 bytes
index,public.admin_audit_log::idx_admin_audit_action,0.7,0 bytes
index,public.admin_audit_log::admin_audit_log_pkey,0.7,0 bytes
index,public.admin_audit_log::idx_admin_audit_created,0.7,0 bytes
index,public.admin_audit_log::idx_admin_audit_company,0.7,0 bytes
